date,inflation
2016-02-01,2.5325163
2016-03-01,2.524287
2016-04-01,2.5317118
2016-05-01,2.5578411
2016-06-01,2.5561693
2016-07-01,2.5763857
2016-08-01,2.7089355
2016-09-01,2.5996153
2016-10-01,2.4802117
2016-11-01,2.4882912
2016-12-01,2.55745
2017-01-01,2.619338
2017-02-01,2.632062
2017-03-01,2.429762
2017-04-01,2.247479
2017-05-01,2.15305
2017-06-01,2.125491
2017-07-01,2.131408
2017-08-01,2.088795
2017-09-01,2.116569
2017-10-01,2.1924
2017-11-01,2.132831
2017-12-01,2.148421
2018-01-01,2.181068
2018-02-01,2.156108
2018-03-01,2.366232
2018-04-01,2.480445
2018-05-01,2.540699
2018-06-01,2.564106
2018-07-01,2.526926
2018-08-01,2.435685
2018-09-01,2.459032
2018-10-01,2.415122
2018-11-01,2.480321
2018-12-01,2.48376
2019-01-01,2.411346
2019-02-01,2.412526
2019-03-01,2.436187
2019-04-01,2.445644
2019-05-01,2.43108
2019-06-01,2.462939
2019-07-01,2.5111
2019-08-01,2.666672
2019-09-01,2.642322
2019-10-01,2.760724
2019-11-01,2.774669
2019-12-01,2.746159
2020-01-01,2.798425
2020-02-01,2.802705
2020-03-01,2.657748
2020-04-01,2.268669
2020-05-01,2.159064
2020-06-01,2.150961
2020-07-01,2.427197
2020-08-01,2.381297
2020-09-01,2.2183
2020-10-01,2.019862
2020-11-01,1.986253
2020-12-01,1.917466
2021-01-01,1.730392
2021-02-01,1.718543
2021-03-01,1.877076
2021-04-01,2.391392
2021-05-01,2.727762
2021-06-01,2.718451
2021-07-01,2.507472
2021-08-01,2.546787
2021-09-01,2.816287
2021-10-01,3.21651
2021-11-01,3.415788
2021-12-01,3.682026
2022-01-01,4.169866
2022-02-01,4.504002
2022-03-01,4.748841
2022-04-01,4.922105
2022-05-01,5.178052
2022-06-01,5.588576
2022-07-01,5.763025
2022-08-01,6.131005
2022-09-01,6.523821
2022-10-01,6.513764
2022-11-01,6.607688
2022-12-01,6.728024
2023-01-01,6.666817665
2023-02-01,6.706578255
2023-03-01,6.596958637
2023-04-01,6.463883877
2023-05-01,6.148794651
